pclass,age,sex,survived
1,adult,male,yes
1,adult,male,yes
1,adult,male,yes
1,adult,male,yes
1,adult,male,yes
1,adult,male,yes
1,adult,male,yes
1,adult,male,yes
1,adult,male,yes
1,adult,male,yes
1,adult,male,yes
1,adult,male,yes
1,adult,male,yes
1,adult,male,yes
1,adult,male,yes
1,adult,male,yes
1,adult,male,yes
1,adult,male,yes
1,adult,male,yes
1,adult,male,yes
1,adult,male,yes
1,adult,male,yes
1,adult,male,yes
1,adult,male,yes
1,adult,male,yes
1,adult,male,yes
1,adult,male,yes
1,adult,male,yes
1,adult,male,yes
1,adult,male,yes
1,adult,male,yes
1,adult,male,yes
1,adult,male,yes
1,adult,male,yes
1,adult,male,yes
1,adult,male,yes
1,adult,male,yes
1,adult,male,yes
1,adult,male,yes
1,adult,male,yes
1,adult,male,yes
1,adult,male,yes
1,adult,male,yes
1,adult,male,yes
1,adult,male,yes
1,adult,male,yes
1,adult,male,yes
1,adult,male,yes
1,adult,male,yes
1,adult,male,yes
1,adult,male,yes
1,adult,male,yes
1,adult,male,yes
1,adult,male,yes
1,adult,male,yes
1,adult,male,yes
1,adult,male,yes
1,adult,male,no
1,adult,male,no
1,adult,male,no
1,adult,male,no
1,adult,male,no
1,adult,male,no
1,adult,male,no
1,adult,male,no
1,adult,male,no
1,adult,male,no
1,adult,male,no
1,adult,male,no
1,adult,male,no
1,adult,male,no
1,adult,male,no
1,adult,male,no
1,adult,male,no
1,adult,male,no
1,adult,male,no
1,adult,male,no
1,adult,male,no
1,adult,male,no
1,adult,male,no
1,adult,male,no
1,adult,male,no
1,adult,male,no
1,adult,male,no
1,adult,male,no
1,adult,male,no
1,adult,male,no
1,adult,male,no
1,adult,male,no
1,adult,male,no
1,adult,male,no
1,adult,male,no
1,adult,male,no
1,adult,male,no
1,adult,male,no
1,adult,male,no
1,adult,male,no
1,adult,male,no
1,adult,male,no
1,adult,male,no
1,adult,male,no
1,adult,male,no
1,adult,male,no
1,adult,male,no
1,adult,male,no
1,adult,male,no
1,adult,male,no
1,adult,male,no
1,adult,male,no
1,adult,male,no
1,adult,male,no
1,adult,male,no
1,adult,male,no
1,adult,male,no
1,adult,male,no
1,adult,male,no
1,adult,male,no
1,adult,male,no
1,adult,male,no
1,adult,male,no
1,adult,male,no
1,adult,male,no
1,adult,male,no
1,adult,male,no
1,adult,male,no
1,adult,male,no
1,adult,male,no
1,adult,male,no
1,adult,male,no
1,adult,male,no
1,adult,male,no
1,adult,male,no
1,adult,male,no
1,adult,male,no
1,adult,male,no
1,adult,male,no
1,adult,male,no
1,adult,male,no
1,adult,male,no
1,adult,male,no
1,adult,male,no
1,adult,male,no
1,adult,male,no
1,adult,male,no
1,adult,male,no
1,adult,male,no
1,adult,male,no
1,adult,male,no
1,adult,male,no
1,adult,male,no
1,adult,male,no
1,adult,male,no
1,adult,male,no
1,adult,male,no
1,adult,male,no
1,adult,male,no
1,adult,male,no
1,adult,male,no
1,adult,male,no
1,adult,male,no
1,adult,male,no
1,adult,male,no
1,adult,male,no
1,adult,male,no
1,adult,male,no
1,adult,male,no
1,adult,male,no
1,adult,male,no
1,adult,male,no
1,adult,male,no
1,adult,male,no
1,adult,male,no
1,adult,male,no
1,adult,male,no
1,adult,male,no
1,adult,female,yes
1,adult,female,yes
1,adult,female,yes
1,adult,female,yes
1,adult,female,yes
1,adult,female,yes
1,adult,female,yes
1,adult,female,yes
1,adult,female,yes
1,adult,female,yes
1,adult,female,yes
1,adult,female,yes
1,adult,female,yes
1,adult,female,yes
1,adult,female,yes
1,adult,female,yes
1,adult,female,yes
1,adult,female,yes
1,adult,female,yes
1,adult,female,yes
1,adult,female,yes
1,adult,female,yes
1,adult,female,yes
1,adult,female,yes
1,adult,female,yes
1,adult,female,yes
1,adult,female,yes
1,adult,female,yes
1,adult,female,yes
1,adult,female,yes
1,adult,female,yes
1,adult,female,yes
1,adult,female,yes
1,adult,female,yes
1,adult,female,yes
1,adult,female,yes
1,adult,female,yes
1,adult,female,yes
1,adult,female,yes
1,adult,female,yes
1,adult,female,yes
1,adult,female,yes
1,adult,female,yes
1,adult,female,yes
1,adult,female,yes
1,adult,female,yes
1,adult,female,yes
1,adult,female,yes
1,adult,female,yes
1,adult,female,yes
1,adult,female,yes
1,adult,female,yes
1,adult,female,yes
1,adult,female,yes
1,adult,female,yes
1,adult,female,yes
1,adult,female,yes
1,adult,female,yes
1,adult,female,yes
1,adult,female,yes
1,adult,female,yes
1,adult,female,yes
1,adult,female,yes
1,adult,female,yes
1,adult,female,yes
1,adult,female,yes
1,adult,female,yes
1,adult,female,yes
1,adult,female,yes
1,adult,female,yes
1,adult,female,yes
1,adult,female,yes
1,adult,female,yes
1,adult,female,yes
1,adult,female,yes
1,adult,female,yes
1,adult,female,yes
1,adult,female,yes
1,adult,female,yes
1,adult,female,yes
1,adult,female,yes
1,adult,female,yes
1,adult,female,yes
1,adult,female,yes
1,adult,female,yes
1,adult,female,yes
1,adult,female,yes
1,adult,female,yes
1,adult,female,yes
1,adult,female,yes
1,adult,female,yes
1,adult,female,yes
1,adult,female,yes
1,adult,female,yes
1,adult,female,yes
1,adult,female,yes
1,adult,female,yes
1,adult,female,yes
1,adult,female,yes
1,adult,female,yes
1,adult,female,yes
1,adult,female,yes
1,adult,female,yes
1,adult,female,yes
1,adult,female,yes
1,adult,female,yes
1,adult,female,yes
1,adult,female,yes
1,adult,female,yes
1,adult,female,yes
1,adult,female,yes
1,adult,female,yes
1,adult,female,yes
1,adult,female,yes
1,adult,female,yes
1,adult,female,yes
1,adult,female,yes
1,adult,female,yes
1,adult,female,yes
1,adult,female,yes
1,adult,female,yes
1,adult,female,yes
1,adult,female,yes
1,adult,female,yes
1,adult,female,yes
1,adult,female,yes
1,adult,female,yes
1,adult,female,yes
1,adult,female,yes
1,adult,female,yes
1,adult,female,yes
1,adult,female,yes
1,adult,female,yes
1,adult,female,yes
1,adult,female,yes
1,adult,female,yes
1,adult,female,yes
1,adult,female,yes
1,adult,female,yes
1,adult,female,yes
1,adult,female,no
1,adult,female,no
1,adult,female,no
1,adult,female,no
1,child,male,yes
1,child,male,yes
1,child,male,yes
1,child,male,yes
1,child,male,yes
1,child,female,yes
2,adult,male,yes
2,adult,male,yes
2,adult,male,yes
2,adult,male,yes
2,adult,male,yes
2,adult,male,yes
2,adult,male,yes
2,adult,male,yes
2,adult,male,yes
2,adult,male,yes
2,adult,male,yes
2,adult,male,yes
2,adult,male,yes
2,adult,male,yes
2,adult,male,no
2,adult,male,no
2,adult,male,no
2,adult,male,no
2,adult,male,no
2,adult,male,no
2,adult,male,no
2,adult,male,no
2,adult,male,no
2,adult,male,no
2,adult,male,no
2,adult,male,no
2,adult,male,no
2,adult,male,no
2,adult,male,no
2,adult,male,no
2,adult,male,no
2,adult,male,no
2,adult,male,no
2,adult,male,no
2,adult,male,no
2,adult,male,no
2,adult,male,no
2,adult,male,no
2,adult,male,no
2,adult,male,no
2,adult,male,no
2,adult,male,no
2,adult,male,no
2,adult,male,no
2,adult,male,no
2,adult,male,no
2,adult,male,no
2,adult,male,no
2,adult,male,no
2,adult,male,no
2,adult,male,no
2,adult,male,no
2,adult,male,no
2,adult,male,no
2,adult,male,no
2,adult,male,no
2,adult,male,no
2,adult,male,no
2,adult,male,no
2,adult,male,no
2,adult,male,no
2,adult,male,no
2,adult,male,no
2,adult,male,no
2,adult,male,no
2,adult,male,no
2,adult,male,no
2,adult,male,no
2,adult,male,no
2,adult,male,no
2,adult,male,no
2,adult,male,no
2,adult,male,no
2,adult,male,no
2,adult,male,no
2,adult,male,no
2,adult,male,no
2,adult,male,no
2,adult,male,no
2,adult,male,no
2,adult,male,no
2,adult,male,no
2,adult,male,no
2,adult,male,no
2,adult,male,no
2,adult,male,no
2,adult,male,no
2,adult,male,no
2,adult,male,no
2,adult,male,no
2,adult,male,no
2,adult,male,no
2,adult,male,no
2,adult,male,no
2,adult,male,no
2,adult,male,no
2,adult,male,no
2,adult,male,no
2,adult,male,no
2,adult,male,no
2,adult,male,no
2,adult,male,no
2,adult,male,no
2,adult,male,no
2,adult,male,no
2,adult,male,no
2,adult,male,no
2,adult,male,no
2,adult,male,no
2,adult,male,no
2,adult,male,no
2,adult,male,no
2,adult,male,no
2,adult,male,no
2,adult,male,no
2,adult,male,no
2,adult,male,no
2,adult,male,no
2,adult,male,no
2,adult,male,no
2,adult,male,no
2,adult,male,no
2,adult,male,no
2,adult,male,no
2,adult,male,no
2,adult,male,no
2,adult,male,no
2,adult,male,no
2,adult,male,no
2,adult,male,no
2,adult,male,no
2,adult,male,no
2,adult,male,no
2,adult,male,no
2,adult,male,no
2,adult,male,no
2,adult,male,no
2,adult,male,no
2,adult,male,no
2,adult,male,no
2,adult,male,no
2,adult,male,no
2,adult,male,no
2,adult,male,no
2,adult,male,no
2,adult,male,no
2,adult,male,no
2,adult,male,no
2,adult,male,no
2,adult,male,no
2,adult,male,no
2,adult,male,no
2,adult,male,no
2,adult,male,no
2,adult,male,no
2,adult,male,no
2,adult,male,no
2,adult,male,no
2,adult,male,no
2,adult,male,no
2,adult,male,no
2,adult,male,no
2,adult,male,no
2,adult,male,no
2,adult,male,no
2,adult,male,no
2,adult,male,no
2,adult,male,no
2,adult,female,yes
2,adult,female,yes
2,adult,female,yes
2,adult,female,yes
2,adult,female,yes
2,adult,female,yes
2,adult,female,yes
2,adult,female,yes
2,adult,female,yes
2,adult,female,yes
2,adult,female,yes
2,adult,female,yes
2,adult,female,yes
2,adult,female,yes
2,adult,female,yes
2,adult,female,yes
2,adult,female,yes
2,adult,female,yes
2,adult,female,yes
2,adult,female,yes
2,adult,female,yes
2,adult,female,yes
2,adult,female,yes
2,adult,female,yes
2,adult,female,yes
2,adult,female,yes
2,adult,female,yes
2,adult,female,yes
2,adult,female,yes
2,adult,female,yes
2,adult,female,yes
2,adult,female,yes
2,adult,female,yes
2,adult,female,yes
2,adult,female,yes
2,adult,female,yes
2,adult,female,yes
2,adult,female,yes
2,adult,female,yes
2,adult,female,yes
2,adult,female,yes
2,adult,female,yes
2,adult,female,yes
2,adult,female,yes
2,adult,female,yes
2,adult,female,yes
2,adult,female,yes
2,adult,female,yes
2,adult,female,yes
2,adult,female,yes
2,adult,female,yes
2,adult,female,yes
2,adult,female,yes
2,adult,female,yes
2,adult,female,yes
2,adult,female,yes
2,adult,female,yes
2,adult,female,yes
2,adult,female,yes
2,adult,female,yes
2,adult,female,yes
2,adult,female,yes
2,adult,female,yes
2,adult,female,yes
2,adult,female,yes
2,adult,female,yes
2,adult,female,yes
2,adult,female,yes
2,adult,female,yes
2,adult,female,yes
2,adult,female,yes
2,adult,female,yes
2,adult,female,yes
2,adult,female,yes
2,adult,female,yes
2,adult,female,yes
2,adult,female,yes
2,adult,female,yes
2,adult,female,yes
2,adult,female,yes
2,adult,female,no
2,adult,female,no
2,adult,female,no
2,adult,female,no
2,adult,female,no
2,adult,female,no
2,adult,female,no
2,adult,female,no
2,adult,female,no
2,adult,female,no
2,adult,female,no
2,adult,female,no
2,adult,female,no
2,child,male,yes
2,child,male,yes
2,child,male,yes
2,child,male,yes
2,child,male,yes
2,child,male,yes
2,child,male,yes
2,child,male,yes
2,child,male,yes
2,child,male,yes
2,child,male,yes
2,child,female,yes
2,child,female,yes
2,child,female,yes
2,child,female,yes
2,child,female,yes
2,child,female,yes
2,child,female,yes
2,child,female,yes
2,child,female,yes
2,child,female,yes
2,child,female,yes
2,child,female,yes
2,child,female,yes
3,adult,male,yes
3,adult,male,yes
3,adult,male,yes
3,adult,male,yes
3,adult,male,yes
3,adult,male,yes
3,adult,male,yes
3,adult,male,yes
3,adult,male,yes
3,adult,male,yes
3,adult,male,yes
3,adult,male,yes
3,adult,male,yes
3,adult,male,yes
3,adult,male,yes
3,adult,male,yes
3,adult,male,yes
3,adult,male,yes
3,adult,male,yes
3,adult,male,yes
3,adult,male,yes
3,adult,male,yes
3,adult,male,yes
3,adult,male,yes
3,adult,male,yes
3,adult,male,yes
3,adult,male,yes
3,adult,male,yes
3,adult,male,yes
3,adult,male,yes
3,adult,male,yes
3,adult,male,yes
3,adult,male,yes
3,adult,male,yes
3,adult,male,yes
3,adult,male,yes
3,adult,male,yes
3,adult,male,yes
3,adult,male,yes
3,adult,male,yes
3,adult,male,yes
3,adult,male,yes
3,adult,male,yes
3,adult,male,yes
3,adult,male,yes
3,adult,male,yes
3,adult,male,yes
3,adult,male,yes
3,adult,male,yes
3,adult,male,yes
3,adult,male,yes
3,adult,male,yes
3,adult,male,yes
3,adult,male,yes
3,adult,male,yes
3,adult,male,yes
3,adult,male,yes
3,adult,male,yes
3,adult,male,yes
3,adult,male,yes
3,adult,male,yes
3,adult,male,yes
3,adult,male,yes
3,adult,male,yes
3,adult,male,yes
3,adult,male,yes
3,adult,male,yes
3,adult,male,yes
3,adult,male,yes
3,adult,male,yes
3,adult,male,yes
3,adult,male,yes
3,adult,male,yes
3,adult,male,yes
3,adult,male,yes
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,female,yes
3,adult,female,yes
3,adult,female,yes
3,adult,female,yes
3,adult,female,yes
3,adult,female,yes
3,adult,female,yes
3,adult,female,yes
3,adult,female,yes
3,adult,female,yes
3,adult,female,yes
3,adult,female,yes
3,adult,female,yes
3,adult,female,yes
3,adult,female,yes
3,adult,female,yes
3,adult,female,yes
3,adult,female,yes
3,adult,female,yes
